LOCATION,\sITEM NO,ITEM DESCRIPTION,PACK,SIZE,ITEM WGT,WEEKLY MVMT,ITEM COST,CASES DAMAGED,COLOR_CASES DAMAGED,LINK_
B3-1-5,115,test92,91,140#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-2-1,116,test93,92,141#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-2-2,117,test94,93,142#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-2-3,118,test95,94,143#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-2-4,119,test96,95,144#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-2-5,120,test97,96,145#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-3-1,121,test98,97,146#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-3-2,122,test99,98,147#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-3-3,123,test100,99,148#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-3-4,124,test101,100,149#,50,8,36.93,0,green,http://yourURL?LOCATION=
B3-3-5,125,test102,101,150#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-1-1,126,test103,102,151#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-1-2,127,test104,103,152#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-1-3,128,test105,104,153#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-1-4,129,test106,105,154#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-1-5,130,test107,106,155#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-2-1,131,test108,107,156#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-2-2,132,test109,108,157#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-2-3,133,test110,109,158#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-2-4,134,test111,110,159#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-2-5,135,test112,111,160#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-3-1,136,test113,112,161#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-3-2,137,test114,113,162#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-3-3,138,test115,114,163#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-3-4,139,test116,115,164#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-3-5,140,test117,116,165#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-4-1,141,test118,117,166#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-4-2,142,test119,118,167#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-4-3,143,test120,119,168#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-4-4,144,test121,120,169#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-4-5,145,test122,121,170#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-1,146,test123,122,171#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-2,147,test124,123,172#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-3,148,test125,124,173#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-4,149,test126,125,174#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-1-5,150,test127,126,175#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-2-1,151,test128,127,176#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-2-2,152,test129,128,177#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-2-3,153,test130,129,178#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-2-4,154,test131,130,179#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-2-5,155,test132,131,180#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-3-1,156,test133,132,181#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-3-2,157,test134,133,182#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-3-3,158,test135,134,183#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-3-4,159,test136,135,184#,50,8,36.93,0,green,http://yourURL?LOCATION=
B4-3-5,160,test137,136,185#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-1-1,161,test138,137,186#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-1-2,162,test139,138,187#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-1-3,163,test140,139,188#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-1-4,164,test141,140,189#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-1-5,165,test142,141,190#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-2-1,166,test143,142,191#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-2-2,167,test144,143,192#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-2-3,168,test145,144,193#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-2-4,169,test146,145,194#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-2-5,170,test147,146,195#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-3-1,171,test148,147,196#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-3-2,172,test149,148,197#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-3-3,173,test150,149,198#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-3-4,174,test151,150,199#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-3-5,175,test152,151,200#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-4-1,176,test153,152,201#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-4-2,177,test154,153,202#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-4-3,178,test155,154,203#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-4-4,179,test156,155,204#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-4-5,180,test157,156,205#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-1,181,test158,157,206#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-2,182,test159,158,207#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-3,183,test160,159,208#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-4,184,test161,160,209#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-1-5,185,test162,161,210#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-2-1,186,test163,162,211#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-2-2,187,test164,163,212#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-2-3,188,test165,164,213#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-2-4,189,test166,165,214#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-2-5,190,test167,166,215#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-3-1,191,test168,167,216#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-3-2,192,test169,168,217#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-3-3,193,test170,169,218#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-3-4,194,test171,170,219#,50,8,36.93,0,green,http://yourURL?LOCATION=
B5-3-5,195,test172,171,220#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-1-1,196,test173,172,221#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-1-2,197,test174,173,222#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-1-3,198,test175,174,223#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-1-4,199,test176,175,224#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-1-5,200,test177,176,225#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-2-1,201,test178,177,226#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-2-2,202,test179,178,227#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-2-3,203,test180,179,228#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-2-4,204,test181,180,229#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-2-5,205,test182,181,230#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-3-1,206,test183,182,231#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-3-2,207,test184,183,232#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-3-3,208,test185,184,233#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-3-4,209,test186,185,234#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-3-5,210,test187,186,235#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-4-1,211,test188,187,236#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-4-2,212,test189,188,237#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-4-3,213,test190,189,238#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-4-4,214,test191,190,239#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-4-5,215,test192,191,240#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-1,216,test193,192,241#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-2,217,test194,193,242#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-3,218,test195,194,243#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-4,219,test196,195,244#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-1-5,220,test197,196,245#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-2-1,221,test198,197,246#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-2-2,222,test199,198,247#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-2-3,223,test200,199,248#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-2-4,224,test201,200,249#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-2-5,225,test202,201,250#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-3-1,226,test203,202,251#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-3-2,227,test204,203,252#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-3-3,228,test205,204,253#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-3-4,229,test206,205,254#,50,8,36.93,0,green,http://yourURL?LOCATION=
B6-3-5,230,test207,206,255#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-1-1,231,test208,207,256#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-1-2,232,test209,208,257#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-1-3,233,test210,209,258#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-1-4,234,test211,210,259#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-1-5,235,test212,211,260#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-2-1,236,test213,212,261#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-2-2,237,test214,213,262#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-2-3,238,test215,214,263#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-2-4,239,test216,215,264#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-2-5,240,test217,216,265#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-3-1,241,test218,217,266#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-3-2,242,test219,218,267#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-3-3,243,test220,219,268#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-3-4,244,test221,220,269#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-3-5,245,test222,221,270#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-4-1,246,test223,222,271#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-4-2,247,test224,223,272#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-4-3,248,test225,224,273#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-4-4,249,test226,225,274#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-4-5,250,test227,226,275#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-1,251,test228,227,276#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-2,252,test229,228,277#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-3,253,test230,229,278#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-4,254,test231,230,279#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-1-5,255,test232,231,280#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-2-1,256,test233,232,281#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-2-2,257,test234,233,282#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-2-3,258,test235,234,283#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-2-4,259,test236,235,284#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-2-5,260,test237,236,285#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-3-1,261,test238,237,286#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-3-2,262,test239,238,287#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-3-3,263,test240,239,288#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-3-4,264,test241,240,289#,50,8,36.93,0,green,http://yourURL?LOCATION=
B7-3-5,265,test242,241,290#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-1-1,266,test243,242,291#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-1-2,267,test244,243,292#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-1-3,268,test245,244,293#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-1-4,269,test246,245,294#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-1-5,270,test247,246,295#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-2-1,271,test248,247,296#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-2-2,272,test249,248,297#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-2-3,273,test250,249,298#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-2-4,274,test251,250,299#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-2-5,275,test252,251,300#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-3-1,276,test253,252,301#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-3-2,277,test254,253,302#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-3-3,278,test255,254,303#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-3-4,279,test256,255,304#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-3-5,280,test257,256,305#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-4-1,281,test258,257,306#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-4-2,282,test259,258,307#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-4-3,283,test260,259,308#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-4-4,284,test261,260,309#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-4-5,285,test262,261,310#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-1,286,test263,262,311#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-2,287,test264,263,312#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-3,288,test265,264,313#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-4,289,test266,265,314#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-1-5,290,test267,266,315#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-2-1,291,test268,267,316#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-2-2,292,test269,268,317#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-2-3,293,test270,269,318#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-2-4,294,test271,270,319#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-2-5,295,test272,271,320#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-3-1,296,test273,272,321#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-3-2,297,test274,273,322#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-3-3,298,test275,274,323#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-3-4,299,test276,275,324#,50,8,36.93,0,green,http://yourURL?LOCATION=
B8-3-5,300,test277,276,325#,50,8,36.93,0,green,http://yourURL?LOCATION=
B9-1-1-1,301,test278,277,326#,50,8,36.93,0,green,http://yourURL?LOCATION=
B9-1-1-2,302,test279,278,327#,50,8,36.93,0,green,http://yourURL?LOCATION=
B9-1-1-3,303,test280,279,328#,50,8,36.93,0,green,http://yourURL?LOCATION=
B9-1-1-4,304,test281,280,329#,50,8,36.93,0,green,http://yourURL?LOCATION=
B9-1-1-5,305,test282,281,330#,50,8,36.93,0,green,http://yourURL?LOCATION=
